subgraph_id,ipfs_hash,is_latest,signal_amount_formatted,query_volume_30d,active_indexers,indexer_count,indexers_responding,sync_percentage,indexer_sync_percentages
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmRVtQMStKBEhGFaymiF8eRWNFDrnati1Fw9Cx5WV6esx4,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
82Jfs6YUgbBCCmHycPaYujrrfs1LdbXhdUHF8ryfHfXD,QmSqW4hUovD4JHyeLHzybbaeZCosDSP9oPsncVVp7LB7oa,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
9WeMybf9o5fGpbKWFzrZz9dQi3YZ5VWrF5v3UyrWN4VP,QmSuLTQLzHJkrJcLJFsciEiVkr5imuLUB4vz9QFRhaDTK5,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,25.0%,25%
A1fvJWQLBeUAggX2WQTMm3FKjXTekNXo77ZySun4YN2m,QmUwBMokciw5TY5kHYtqMXXuZdymDy2knYpRxHwqiy85od,True,"22,198.62",2537193,"0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xedca8740873152ff30a2696add66d1ab41882beb",2,2,98.0%,"98%, 66%"
9a4tXnJu1v5KFnJUinVBvGoE7bAE9pPW8hUC5myE5v3t,QmZZ7ZWoNnaGjD2Zf4z17nsTWuvaHdWLy3jpzCtH5Ydxrm,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,58.0%,58%
BEj2952gcYgkR5oZ6TJsZtJ8SpBismBdvYJxng3G8SfA,QmeTEHchTU78r4zyx4piXSzcsEzvSSAH7Zruq1stgu1ZJ7,True,0,4,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
AAHFozW6KF553DsmqZkY7SRNLngP3vgrTMig2oxmfmfh,Qmbbdob8cWX9t6ZHNZoNATrEvTX3ohvSSt7x1hXvUvidKr,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,55.0%,55%
BsZnuQqE5CEmbfkD1HdcDoB9k7sR7jEZ63qM3CF3TDew,Qme8JM4E2Wjxtwk2AEQ88zAkYuehWkvfMmxWKfk9MNNCnL,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,58.0%,58%
C4cSs45WiwmUqyN7WCR6rFRitEhPEXSKt3uabL2tWinu,QmaHz1LewqNy1N25x7xWXJLWszdi4hHjVpPCCXhb5MgwwV,True,0,61,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,96.0%,96%
DNpAcM1JJKHvy1WoRsHRwnAeJqM24PcqvZt1rZUgkq4i,QmbTmTRCBQBxmePArDUgnR8XoRu5mhX7qaDjVQGwm6FWKR,True,0,7,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,77.0%,77%
Cwefn7yHSbLw9CqRBRxTyNca9RfErW2Ykimze4rRVcvf,QmaxVn3okpNPW4siiuRTXrP6LiaKvYRfgZPN1cD2YwfKuF,False,0,88254,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
Cwefn7yHSbLw9CqRBRxTyNca9RfErW2Ykimze4rRVcvf,QmRYDoEZCS7N2ar56RihrTcbWyieHtwfNvTgLJgUVnboxg,False,0,16445,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
EXBcAqmvQi6VAnE9X4MNK83LPeA6c1PsGskffbmThoeK,QmbsvWwE69uV2skDmF5sAkxhRdRftrqJFMWied1VBb2s8d,True,2.13,43525,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
GaApRV2cmGYke3zioYHEkRZGrXxuwVftyoysDv2ZUVai,QmVSaMw6Vj77HxhG3JNrXmDs3efvR6Q6N5MhQNvEUsmP6D,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
HMcqgvDY6f4MpnRSJqUUsBPHePj8Hq3AxiDBfDUrWs15,QmPZWGqgbPVDBAkjJ2BCRT7S7GuMRaHWwszCgQNqALJiFW,False,0.99,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,97.0%,97%
GqzP4Xaehti8KSfQmv3ZctFSjnSUYZ4En5NRsiTbvZpz,QmVeyHjXivX8mY7bzWdbHDyA5z9ojgJdTu6uwFJsJvUzYR,True,"34,917.74",783547,"0xedca8740873152ff30a2696add66d1ab41882beb, 0xf92f430dd8567b0d466358c79594ab58d919a6d4, 0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491",3,3,81.0%,"76%, 81%, 76%"
J8e3FPp5ixbWhk6bosKZkyMzynszpzvHKMd3kLmKZEYn,Qmf2eRZEmg9BYo98bGVdg4MEFSuohajYT5WWjkb8wsicmA,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,99.0%,99%
J8e3FPp5ixbWhk6bosKZkyMzynszpzvHKMd3kLmKZEYn,QmQvRciTvcduf8Q27FrmnGJM2QKG8feQ4CXRxmJ846LKHb,False,0,0,0xbdfb5ee5a2abf4fc7bb1bd1221067aef7f9de491,1,1,63.0%,63%
